id	label	lon	lat
1	Detroit, MI	-83.0457538	42.33142699999999
2	Chicago, IL	-87.62979819999998	41.878113600000006
3	Houston, TX	-95.36980279999999	29.760426699999996
4	Reno, NV	-119.8138027	39.52963290000001
5	Stillwater, OK	-97.05836809999998	36.1156071
6	Santa Barbara, CA	-119.69819009999999	34.4208305
7	Oakland, CA	-122.27116390000002	37.804351399999994
8	Brownsville, TX	-97.49748380000001	25.901747199999996
9	Hawthorne, CA	-118.35257479999999	33.9164032
10	Palo Alto, CA	-122.14301950000001	37.44188339999999
11	San Jose, CA	-121.8863286	37.338208200000004
12	Silver City/Hurley, NM	-108.1319872	32.6992442
13	St. Louis, MO	-90.19940419999998	38.6270025
14	Palm Springs, CA	-116.5452921	33.8302961
15	Minneapolis, MN	-93.2650108	44.977753
16	New York, NY	-74.00597279999998	40.71277530000001
17	Southampton, NY	-72.38952960000002	40.88426699999999
18	Dallas, TX	-96.79698789999998	32.7766642
19	Waukegan, IL	-87.84479379999999	42.3636331
20	Philadelphia, PA	-75.1652215	39.9525839
21	New Haven, CT	-72.92788350000001	41.308274
22	Los Angeles, CA	-118.24368490000002	34.0522342
23	Teterboro, NJ	-74.05930749999999	40.85982189999999
24	Atlanta, GA	-84.3879824	33.748995400000005
25	Aspen, CO	-106.8175387	39.19109830000001
26	Miami, FL	-80.1917902	25.761679799999996
27	Portland, OR	-122.67502609999998	45.5051064
28	Austin, TX	-97.74306080000001	30.267153
29	Eastsound, WA	-122.9061068	48.696654
30	Rochester, NY	-77.60884649999998	43.156577899999995
31	Cleveland, OH	-81.6943605	41.499320000000004
32	Fort Myers, FL	-81.87230839999998	26.640628
33	Cincinnati, OH	-84.51201960000002	39.10311820000001
34	Buffalo, NY	-78.87836889999998	42.88644679999999
35	Corpus Christi, TX	-97.39638099999998	27.800582799999997
36	El Paso, TX	-106.4850217	31.7618778
37	Sacramento, CA	-121.49439960000002	38.5815719
38	Tampa, FL	-82.45717760000001	27.950575
39	Jacksonville, FL	-81.65565099999998	30.3321838
40	Greer, SC	-82.2270568	34.9387279
41	Seattle, WA	-122.33207079999998	47.6062095
42	Lubbock, TX	-101.8551665	33.577863099999995
43	Midland/Odessa, TX	-102.2522487	31.9391746
44	Milwaukee, WI	-87.90647360000001	43.038902500000006
45	Albuquerque, NM	-106.65042199999999	35.0843859
46	Charlotte, NC	-80.84312670000001	35.2270869
47	Norfolk, VA	-76.28587259999996	36.8507689
48	Birmingham, AL	-86.8103567	33.5185892
49	Raleigh/Durham, NC	-78.86364019999998	35.8991678
50	Providence, RI	-71.4128343	41.8239891
51	New Orleans, LA	-90.07153229999999	29.95106579999999
52	Pittsburgh, PA	-79.9958864	40.44062479999999
53	Hartford, CT	-72.67337229999997	41.765804300000006
54	Columbus, OH	-82.99879419999998	39.9611755
55	Charlottesville, VA	-78.4766781	38.02930590000001
56	Syracuse, NY	-76.14742439999999	43.04812210000001
57	Huntingburg, IN	-86.9549971	38.29894220000001
58	Wiscasset, ME	-69.665583	44.002892100000004
59	Naples, FL	-81.79481030000001	26.1420358
60	White Plains, NY	-73.76290970000001	41.03398620000001
61	Boston, MA	-71.05888009999998	42.3600825
62	Trenton, NJ	-74.759717	40.220582400000005
63	Wilmington, DE	-75.5483909	39.744655
64	Nashville, TN	-86.78160160000002	36.162663800000004
65	Destin, FL	-86.4957833	30.3935337
66	Louisville, KY	-85.7584557	38.2526647
67	Smyrna, TN	-86.51860450000001	35.982841199999996
68	Tulsa, OK	-95.99277500000001	36.153981599999995
69	Fort Lauderdale, FL	-80.13731740000001	26.1224386
70	Phoenix, AZ	-112.07403729999999	33.4483771
71	Islip, NY	-73.21039340000002	40.729820700000005
72	Burbank, CA	-118.30896609999999	34.1808392
73	San Francisco, CA	-122.41941550000001	37.7749295
74	Panama City, FL	-85.6602058	30.1588129
75	Santa Ana, CA	-117.86765300000002	33.745472500000005
76	Kansas City, MO	-94.5785667	39.0997265
77	Tucson, AZ	-110.9747108	32.222606600000006
78	Wichita, KS	-97.33005299999998	37.687176099999995
79	Charleston, SC	-79.93105120000003	32.776474900000004
80	Des Moines, IA	-93.6249593	41.586835300000004
81	Grand Rapids, MI	-85.66808629999998	42.96335990000001
82	Harlingen/San Benito, TX	-97.63110060000001	26.132576
83	Little Rock, AR	-92.28959479999999	34.7464809
84	Orlando, FL	-81.37923649999999	28.5383355
85	Manchester, NH	-71.4547891	42.995639700000005
86	Oklahoma City, OK	-97.51642760000001	35.4675602
87	Ontario, CA	-117.65088759999999	34.063344300000004
88	Las Vegas, NV	-115.13982960000001	36.169941200000004
89	Van Nuys, CA	-118.451357	34.1898566
90	Denver, CO	-104.99025100000001	39.73923580000001
91	Thermal, CA	-116.1422353	33.6402638
92	Driggs, ID	-111.1110872	43.72298850000001
